,nombre,domicilio,alcaldia,latitud,longitud,Colonia name,nivel escolar
88,Primaria General - Antonio Cisneros Y Cisneros,"Calle De La Brecha S/N, Tlalpexco, Delegacion Gustavo A. Madero, Mexico Df.",Gustavo A. Madero,19.54984999993,-99.12871700002,Cocoyotes,Primaria
89,Primaria General - Profra. Virginia Rivera Lozano,,Álvaro Obregón,19.34519999981459,-99.20878600004345,Lomas De San Angel Inn,Primaria
90,Secundaria Para Trabajadores - Ignacio Ramirez,,Cuauhtémoc,19.45361198978437,-99.15685887155227,Santa Maria La Ribera I,Secundaria
91,Primaria General - Profr. Manuel Quiroz Martinez,"Av Antigua Via La Venta S/N, Colonia Lomas De Becerra, Delegacion Alvaro Obregon, Mexico Df.",Álvaro Obregón,19.38641947402091,-99.21936460399306,Arturo Martinez,Primaria
92,Primaria General - Maestro Felix Jimenez Najera,"Prolg Miguel Negrete S/N, Barrio Guadalupe, Delegacion Tlahuac, Mexico Df.",Tláhuac,19.30385999984,-99.03693399976,San Miguel Zapotitla,Primaria
93,Preescolar General - Tizapan,"Rio Chico S/N, Colonia Tizapan, Delegacion Alvaro Obregon, Mexico Df.",Álvaro Obregón,19.34091645629277,-99.195210592917,Tizapan_Tizapan San Angel,Preescolar
94,Primaria General - Luis Peniche Vallado,,Tláhuac,19.3119974378,-99.03787653959,San Miguel Zapotitla,Primaria
95,Primaria General - Profra. Enriqueta Leon Gonzalez,"Santa Balbina Y San Francisco, Colonia Molino De Santo Domingo, Delegacion Alvaro Obregon, Mexico Df.",Álvaro Obregón,19.39448422879914,-99.20877476833398,Molino De Santo Domingo,Primaria
96,Escuela Secundaria Tecnica 116,"Calle Montes Pirineos Esquina Mar De La Crisis, San Francisco Tlaltenco, Delegacion Tlahuac, Mexico Df.",Tláhuac,19.28897599991,-99.00830199979,Selene 1a Secc,Secundaria
97,Preescolar General - Tlahuac,"Avenida Hidalgo Y Cuitlahuac S/N, Barrio San Mateo, Delegacion Tlahuac, Mexico Df.",Tláhuac,19.26942653838,-99.00460067627,San Pedro Tlahuac (Pblo),Preescolar
