_id,expediente,pueblo,scall_col,territorial,fecha_instalacion,capacidad,alcaldia,colonia_datos,latitud,longitud
12115,379-DETRDA-XOO-22,PBO. SANTIAGO TUYLYEHUALCO,GUADALUPITA O BO LA LUPITA (TULYEHUALCO),NO APLICA,2022-10-14T00:00:00,2500,XOCHIMILCO,SANTIAGO TULYEHUALCO (PBLO),19.25528,-99.0131
12116,380-RAABGU-XOO-22,PBO. SANTIAGO TUYLYEHUALCO,SAN FELIPE,NO APLICA,2022-11-12T00:00:00,2500,XOCHIMILCO,SANTIAGO TULYEHUALCO (PBLO),19.252913,-99.016134
12117,1417-CORAVI-TLC-22,PUEBLO SAN FRANCISCO TLALTENCO,SELENE,NO APLICA,2022-10-05T00:00:00,2500,TLAHUAC,SELENE 2da SECC,19.287779,-99.009705
12118,381-GACAJO-XOO-22,PBO. SANTIAGO TUYLYEHUALCO,SAN FELIPE,NO APLICA,2022-11-11T00:00:00,2500,XOCHIMILCO,SANTIAGO TULYEHUALCO (PBLO),19.252913,-99.016134
12119,8838-ESMOFR-MIA-22,SAN PABLO OZTOTEPEC,BARRIO CENTRO,NO APLICA,2022-10-07T00:00:00,2500,NA,NA,19.185941,-99.070828
12120,8839-LEARRO-MIA-22,SANTA ANA TLACOTENCO,BARRIO SAN JOSE,NO APLICA,2022-09-30T00:00:00,1100,MILPA ALTA,SANTA ANA TLACOTENCO (PBLO),19.180828,-99.00214
12121,8840-SATOMA-MIA-22,SANTA ANA TLACOTENCO,BARRIO SAN MARCOS,NO APLICA,2022-10-15T00:00:00,2500,MILPA ALTA,SANTA ANA TLACOTENCO (PBLO),19.170001,-98.999295
12122,8841-OLHENA-MIA-22,SAN ANTONIO TECOMITL,BARRIO TECAXTITLA,NO APLICA,2022-10-17T00:00:00,2500,MILPA ALTA,SAN ANTONIO TECOMITL (PBLO),19.222693,-98.993988
12123,383-CAJIMA-XOO-22,PBO. SANTIAGO TUYLYEHUALCO,SAN FELIPE,NO APLICA,2022-11-09T00:00:00,2500,XOCHIMILCO,SANTIAGO TULYEHUALCO (PBLO),19.252913,-99.016134
12124,8843-LIFLCL-MIA-22,SANTA ANA TLACOTENCO,BARRIO SAN MARCOS,NO APLICA,2022-11-23T00:00:00,2500,MILPA ALTA,SANTA ANA TLACOTENCO (PBLO),19.168886,-98.991108
12125,384-SASERE-XOO-22,PBO. SANTIAGO TUYLYEHUALCO,SAN FELIPE,NO APLICA,2022-10-24T00:00:00,2500,XOCHIMILCO,SANTIAGO TULYEHUALCO (PBLO),19.25251,-99.018299
12126,8844-REARAD-MIA-22,SANTA ANA TLACOTENCO,BARRIO SAN MARCOS,NO APLICA,2022-11-26T00:00:00,2500,MILPA ALTA,SANTA ANA TLACOTENCO (PBLO),19.168886,-98.991108
12127,1185-AVPAAR-GUO-22,NO APLICA,CUCHILLA DEL TESORO,NO APLICA,2022-11-22T00:00:00,2500,GUSTAVO A. MADERO,CUCHILLA DEL TESORO,19.445393,-99.063423
12128,1452-GUSALU-IZA-22,NO APLICA,AMPLIACION EMILIANO ZAPATA,TEOTONGO ACAHUALTEPC,2022-11-28T00:00:00,1100,IZTAPALAPA,EMILIANO ZAPATA (AMPL),19.341146,-98.979375
12129,8845-GAALMA-MIA-22,SANTA ANA TLACOTENCO,BARRIO SAN MIGUEL (STA ANA TLACOTENCO),NO APLICA,2022-10-15T00:00:00,2500,MILPA ALTA,SANTA ANA TLACOTENCO (PBLO),19.168431,-99.001568
12130,385-ACCHSA-XOO-22,PBO. SANTIAGO TUYLYEHUALCO,SAN FELIPE,NO APLICA,2022-10-05T00:00:00,1100,XOCHIMILCO,SANTIAGO TULYEHUALCO (PBLO),19.253298,-99.020736
12131,8846-GAMIRO-MIA-22,PUEBLO SAN SALVADOR CUAUHTENCO,NO APLICA,NO APLICA,2022-09-28T00:00:00,2500,MILPA ALTA,SAN SALVADOR CUAUHTENCO (PBLO),19.190953,-99.090732
12132,8848-BAJIJU-MIA-22,PUEBLO SAN SALVADOR CUAUHTENCO,NO APLICA,NO APLICA,2022-10-27T00:00:00,2500,MILPA ALTA,SAN SALVADOR CUAUHTENCO (PBLO),19.192303,-99.086288
12133,1187-OLSABL-GUO-22,NO APLICA,CUCHILLA DEL TESORO,NO APLICA,2022-10-31T00:00:00,1100,GUSTAVO A. MADERO,CUCHILLA DEL TESORO,19.445504,-99.062464
