"long","lat","Expediente","Pueblo","Colonia_Ba","Territoria","Alcaldia","Fecha_de_I","Instalado"
-98.974629,19.327445,"2476-BACRGR-IZA-20","NO APLICA","CAMPESTRE POTRERO","TEOTONGO ACAHUALTEPC","IZTAPALAPA",2020-09-22,"Programa SCALL"
-99.032104,19.323665,"2479-ARMAMA-IZA-20","NO APLICA","SAN JOSE BUENAVISTA","SANTA CATARINA","IZTAPALAPA",2020-11-12,"Programa SCALL"
-99.060168,19.324906,"2480-GUMOIM-IZA-20","NO APLICA","CONSEJO AGRARISTA","LOS ANGELES AGRARISTA","IZTAPALAPA",2020-09-29,"Programa SCALL"
-99.017261,19.337117,"2486-MOAYAD-IZA-20","NO APLICA","XALPA","SANTA CATARINA","IZTAPALAPA",2020-11-11,"Programa SCALL"
-99.024825,19.323977,"2488-MENEIR-IZA-20","NO APLICA","BUENAVISTA","SANTA CATARINA","IZTAPALAPA",2020-11-11,"Programa SCALL"
-99.021884,19.332188,"2489-TRTRNA-IZA-20","NO APLICA","TENORIOS","SANTA CATARINA","IZTAPALAPA",2020-10-09,"Programa SCALL"
-99.023747,19.330543,"2490-URGORU-IZA-20","NO APLICA","TENORIOS","SANTA CATARINA","IZTAPALAPA",2020-09-28,"Programa SCALL"
-99.040322,19.354767,"2493-HEESMA-IZA-20","NO APLICA","SANTA MARIA AZTAHUACAN","AZTAHUACAN","IZTAPALAPA",2020-10-17,"Programa SCALL"
-99.02782,19.351823,"2494-ALMEAM-IZA-20","NO APLICA","SANTA MARIA AZTAHUACAN","AZTAHUACAN","IZTAPALAPA",2020-11-23,"Programa SCALL"
-99.021439,19.359026,"2497-ANZUZI-IZA-20","NO APLICA","SANTA MARIA AZTAHUACAN","AZTAHUACAN","IZTAPALAPA",2020-11-10,"Programa SCALL"
-99.100558,19.34136,"2499-FAGOAL-IZA-20","NO APLICA","VALLE DE LUCES","LOS CULHUACANES","IZTAPALAPA",2020-09-10,"Programa SCALL"
-99.063205,19.378998,"2502-ELARLU-IZA-20","NO APLICA","LEYES DE REFORMA 3ERA SECCION","LEYES DE REFORMA","IZTAPALAPA",2020-10-03,"Programa SCALL"
-98.999546,19.334132,"2512-ESROPA-IZA-20","NO APLICA","MIRAVALLES","TEOTONGO ACAHUALTEPC","IZTAPALAPA",2020-10-10,"Programa SCALL"
-99.054274,19.322995,"2518-GOGUMI-IZA-20","NO APLICA","CONSEJO AGRARISTA","LOS ANGELES AGRARISTA","IZTAPALAPA",2020-09-29,"Programa SCALL"
-99.071068,19.378732,"2521-JUMOED-IZA-20","NO APLICA","LEYES DE REFORMA 3ERA SECCION","LEYES DE REFORMA","IZTAPALAPA",2020-10-03,"Programa SCALL"
