alcaldia,latitud,longitud,alcaldia_id,año
Milpa Alta,19.191628,-99.091054,9,2022
Milpa Alta,19.192941,-99.090372,9,2022
Milpa Alta,19.189485,-99.020294,9,2022
Milpa Alta,19.199386,-99.014728,9,2022
Milpa Alta,19.221028,-99.004614,9,2022
Milpa Alta,19.19066,-99.086014,9,2022
Milpa Alta,19.187331,-99.090622,9,2022
Milpa Alta,19.201155,-99.005893,9,2022
Tlalpan,19.23459,-99.170022,12,2022
Tlalpan,19.222314,-99.201997,12,2022
Tlalpan,19.269214,-99.233081,12,2022
Tlalpan,19.223763,-99.207883,12,2022
Tlalpan,19.217156,-99.211402,12,2022
Tlalpan,19.224376,-99.197629,12,2022
Tlalpan,19.220136,-99.202381,12,2022
Tlalpan,19.215693,-99.202967,12,2022
Tlalpan,19.230424,-99.209929,12,2022
Tlalpan,19.133038,-99.179649,12,2022
Tlalpan,19.212483,-99.197715,12,2022
Tlalpan,19.220065,-99.199864,12,2022
Tlalpan,19.217901,-99.210571,12,2022
Tlalpan,19.221488,-99.20145,12,2022
Gustavo A. Madero,19.548491,-99.13163,5,2022
Gustavo A. Madero,19.54805,-99.131485,5,2022
Xochimilco,19.247291,-99.026818,13,2022
Tlalpan,19.267271,-99.201071,12,2022
Tlalpan,19.233413,-99.161544,12,2022
Tlalpan,19.214843,-99.210526,12,2022
Tlalpan,19.247403,-99.169512,12,2022
Tlalpan,19.251339,-99.16973,12,2022
Tlalpan,19.218088,-99.205253,12,2022
Tlalpan,19.219046,-99.194882,12,2022
Tlalpan,19.218544,-99.20973,12,2022
Tlalpan,19.200309,-99.144673,12,2022
Tlalpan,19.233157,-99.178326,12,2022
Tlalpan,19.234304,-99.16658,12,2022
Tlalpan,19.217055,-99.211081,12,2022
Tlalpan,19.24673,-99.161918,12,2022
Gustavo A. Madero,19.547285,-99.129337,5,2022
Tlalpan,19.229819,-99.177586,12,2022
Tlalpan,19.228314,-99.200767,12,2022
Tlalpan,19.250184,-99.158442,12,2022
Gustavo A. Madero,19.548018,-99.132248,5,2022
Tlalpan,19.234223,-99.180949,12,2022
Tlalpan,19.219882,-99.204144,12,2022
Tlalpan,19.217796,-99.206392,12,2022
Tlalpan,19.236584,-99.183677,12,2022
Tlalpan,19.22238,-99.202506,12,2022
Tlalpan,19.214491,-99.198801,12,2022
Tlalpan,19.232491,-99.16649,12,2022
Tlalpan,19.216718,-99.200252,12,2022
Tlalpan,19.235918,-99.166856,12,2022
Tlalpan,19.226351,-99.203372,12,2022
Milpa Alta,19.201508,-99.053648,9,2022
Milpa Alta,19.195335,-99.092866,9,2022
Tlalpan,19.224561,-99.208175,12,2022
Milpa Alta,19.206323,-99.069953,9,2022
Milpa Alta,19.204184,-99.047466,9,2022
Tlalpan,19.251328,-99.168487,12,2022
Iztapalapa,19.341134,-98.986298,7,2022
Tlalpan,19.215364,-99.210525,12,2022
Milpa Alta,19.199898,-99.053913,9,2022
Tlalpan,19.222552,-99.20337,12,2022
Milpa Alta,19.183858,-99.074294,9,2022
Tlalpan,19.232734,-99.204964,12,2022
Milpa Alta,19.182559,-99.073489,9,2022
Milpa Alta,19.182565,-99.073445,9,2022
Milpa Alta,19.182048,-99.073992,9,2022
Tlalpan,19.231806,-99.176122,12,2022
Tlalpan,19.251499,-99.177074,12,2022
Tlalpan,19.243289,-99.169052,12,2022
Tlalpan,19.232595,-99.177756,12,2022
Milpa Alta,19.208395,-99.067644,9,2022
Tlalpan,19.198697,-99.138767,12,2022
Iztapalapa,19.340445,-99.000182,7,2022
Tlalpan,19.214938,-99.197797,12,2022
Tlalpan,19.226871,-99.196496,12,2022
Milpa Alta,19.218333,-99.00186,9,2022
Gustavo A. Madero,19.555586,-99.128532,5,2022
Milpa Alta,19.200098,-99.049456,9,2022
Milpa Alta,19.191665,-99.02876,9,2022
Milpa Alta,19.192984,-99.050696,9,2022
Milpa Alta,19.200198,-99.068805,9,2022
Xochimilco,19.250909,-99.019045,13,2022
Tlalpan,19.254564,-99.187981,12,2022
Milpa Alta,19.201341,-99.05362,9,2022
Milpa Alta,19.180764,-99.073417,9,2022
Milpa Alta,19.202866,-99.051361,9,2022
Milpa Alta,19.190615,-99.024279,9,2022
Milpa Alta,19.202866,-99.051361,9,2022
Milpa Alta,19.190645,-99.049303,9,2022
Milpa Alta,19.202315,-99.051177,9,2022
Milpa Alta,19.190645,-99.049303,9,2022
Milpa Alta,19.202304,-99.051161,9,2022
Xochimilco,19.249906,-99.025052,13,2022
Milpa Alta,19.202304,-99.051161,9,2022
Milpa Alta,19.197012,-99.050742,9,2022
Milpa Alta,19.195181,-99.050503,9,2022
Tlalpan,19.22384,-99.20411,12,2022
Milpa Alta,19.19737,-99.052938,9,2022
Tlalpan,19.222103,-99.201561,12,2022
Milpa Alta,19.198577,-99.051411,9,2022
Milpa Alta,19.195181,-99.050503,9,2022
Milpa Alta,19.198046,-99.050279,9,2022
Milpa Alta,19.195392,-99.050609,9,2022
Tlalpan,19.219394,-99.205043,12,2022
Milpa Alta,19.198048,-99.054545,9,2022
Milpa Alta,19.195366,-99.049184,9,2022
Tlalpan,19.214169,-99.206398,12,2022
Tlalpan,19.195628,-99.144062,12,2022
Milpa Alta,19.197163,-99.051871,9,2022
Milpa Alta,19.197837,-99.052692,9,2022
Milpa Alta,19.195546,-99.049607,9,2022
Milpa Alta,19.198085,-99.054271,9,2022
Milpa Alta,19.193431,-99.051128,9,2022
Tlalpan,19.229618,-99.205547,12,2022
Milpa Alta,19.194676,-99.04931,9,2022
Milpa Alta,19.194365,-99.051552,9,2022
Milpa Alta,19.197889,-99.0522,9,2022
Milpa Alta,19.198151,-99.053446,9,2022
Milpa Alta,19.194365,-99.051552,9,2022
Milpa Alta,19.197012,-99.050742,9,2022
Tlalpan,19.213417,-99.199159,12,2022
Milpa Alta,19.197012,-99.050742,9,2022
Tlalpan,19.241101,-99.182458,12,2022
Tlalpan,19.193787,-99.148968,12,2022
Milpa Alta,19.205572,-99.068485,9,2022
Milpa Alta,19.216988,-99.049311,9,2022
Tlalpan,19.22251,-99.204574,12,2022
Milpa Alta,19.194878,-99.048631,9,2022
Milpa Alta,19.194954,-99.053569,9,2022
Tlalpan,19.203792,-99.151098,12,2022
Milpa Alta,19.202316,-99.045764,9,2022
Tlalpan,19.233368,-99.181952,12,2022
Milpa Alta,19.202288,-99.046763,9,2022
Tlalpan,19.231385,-99.17934,12,2022
Tlalpan,19.215505,-99.206345,12,2022
Tlalpan,19.133009,-99.185397,12,2022
Tlalpan,19.228776,-99.206963,12,2022
Tlalpan,19.214424,-99.198319,12,2022
Tlalpan,19.241242,-99.167357,12,2022
Tlalpan,19.226486,-99.201817,12,2022
Iztapalapa,19.336162,-99.00083,7,2022
Iztapalapa,19.335249,-99.00138,7,2022
Iztapalapa,19.337547,-99.000394,7,2022
Iztapalapa,19.335311,-98.99712,7,2022
Iztapalapa,19.336033,-99.000248,7,2022
Iztapalapa,19.335148,-99.001143,7,2022
Gustavo A. Madero,19.563601,-99.134232,5,2022
Gustavo A. Madero,19.55621,-99.15358,5,2022
Tlalpan,19.223584,-99.200047,12,2022
Gustavo A. Madero,19.559917,-99.138771,5,2022
Tlalpan,19.188745,-99.144217,12,2022
Tlalpan,19.221161,-99.205315,12,2022
Gustavo A. Madero,19.522511,-99.136452,5,2022
Tlalpan,19.223917,-99.19951,12,2022
Tlalpan,19.223691,-99.201343,12,2022
Tlalpan,19.223844,-99.200359,12,2022
Milpa Alta,19.176961,-98.994448,9,2022
Milpa Alta,19.178952,-99.004779,9,2022
Tlalpan,19.236052,-99.17912,12,2022
Milpa Alta,19.200961,-99.054062,9,2022
Tlalpan,19.27554,-99.182348,12,2022
Milpa Alta,19.176751,-99.001255,9,2022
Milpa Alta,19.179251,-99.033591,9,2022
Tlalpan,19.224543,-99.20192,12,2022
Milpa Alta,19.178441,-99.003387,9,2022
Milpa Alta,19.191392,-99.089206,9,2022
Tlalpan,19.222681,-99.195248,12,2022
Milpa Alta,19.199711,-99.048763,9,2022
Milpa Alta,19.199711,-99.048763,9,2022
Tlalpan,19.228963,-99.205371,12,2022
Milpa Alta,19.178532,-99.004099,9,2022
Milpa Alta,19.200859,-99.05368,9,2022
Milpa Alta,19.17676,-98.998723,9,2022
Tlalpan,19.225337,-99.196127,12,2022
Milpa Alta,19.179634,-98.997603,9,2022
Milpa Alta,19.17942,-98.999383,9,2022
Milpa Alta,19.177044,-98.992773,9,2022
Tlalpan,19.237677,-99.180319,12,2022
Milpa Alta,19.180086,-98.997754,9,2022
Tlalpan,19.234432,-99.180901,12,2022
Tlalpan,19.227982,-99.204906,12,2022
Gustavo A. Madero,19.560692,-99.146103,5,2022
Tlalpan,19.248423,-99.169976,12,2022
Milpa Alta,19.175839,-98.995434,9,2022
Milpa Alta,19.218658,-98.992101,9,2022
Milpa Alta,19.17942,-98.999383,9,2022
Milpa Alta,19.195319,-99.046819,9,2022
Milpa Alta,19.181281,-99.003297,9,2022
Milpa Alta,19.177162,-99.002247,9,2022
Tlalpan,19.2234,-99.205697,12,2022
Milpa Alta,19.179354,-98.999189,9,2022
Tlalpan,19.203386,-99.144278,12,2022
Milpa Alta,19.176754,-98.992629,9,2022
Milpa Alta,19.181281,-99.003297,9,2022
Milpa Alta,19.180548,-99.00275,9,2022
Milpa Alta,19.176754,-98.992629,9,2022
Tlalpan,19.136585,-99.174291,12,2022
Milpa Alta,19.176778,-99.00168,9,2022
Milpa Alta,19.178209,-99.000592,9,2022
Tlalpan,19.233474,-99.180113,12,2022
Milpa Alta,19.176945,-99.001591,9,2022
Tlalpan,19.226116,-99.204541,12,2022
Tlalpan,19.218219,-99.197325,12,2022
Milpa Alta,19.178094,-99.000358,9,2022
Tlalpan,19.226256,-99.208715,12,2022
Tlalpan,19.232265,-99.180526,12,2022
Milpa Alta,19.171001,-98.992941,9,2022
Milpa Alta,19.178247,-99.002583,9,2022
Tlalpan,19.236199,-99.183644,12,2022
Milpa Alta,19.201436,-99.051293,9,2022
Tlalpan,19.230722,-99.208281,12,2022
Milpa Alta,19.194354,-99.007792,9,2022
Tlalpan,19.218689,-99.210867,12,2022
Tlalpan,19.23034,-99.165834,12,2022
Tlalpan,19.223375,-99.2028,12,2022
Tlalpan,19.197781,-99.140441,12,2022
Tlalpan,19.238881,-99.162904,12,2022
Tlalpan,19.271788,-99.239662,12,2022
