Alcaldia,Sexo,Grupos de edad,Poblacion,Sin Escolaridad,Preescolar,Primaria,Secundaria,Estudios técnicos con primaria,Estudios técnicos con secundaria,Prepa,Normal Basica,Estudios técnicos con prepa,Licenciatura,Posgrado,No especificado,alcaldia_id
Miguel Hidalgo,Hombres,25-29 años,16511.0,46,6,235,1629,17,39,3355,0,181,9633,1328,42,016
Miguel Hidalgo,Hombres,30-34 años,18650.0,47,5,308,1683,13,56,3155,0,196,10160,2977,50,016
Miguel Hidalgo,Hombres,35-39 años,17544.0,46,7,375,1829,38,56,3105,0,215,8356,3452,65,016
Miguel Hidalgo,Hombres,40-44 años,15640.0,47,10,438,1942,20,106,2789,0,244,7046,2968,30,016
Miguel Hidalgo,Hombres,45-49 años,14744.0,49,6,603,2032,28,139,2855,5,300,5916,2766,45,016
Miguel Hidalgo,Hombres,50-54 años,12846.0,54,9,752,2290,21,134,2661,9,259,4700,1937,20,016
Miguel Hidalgo,Hombres,55-59 años,10748.0,65,5,827,1833,24,121,2169,8,193,4190,1301,12,016
Miguel Hidalgo,Hombres,60-64 años,9198.0,83,12,1054,1513,20,96,1686,14,145,3472,1084,19,016
Miguel Hidalgo,Hombres,65-69 años,7139.0,65,9,1130,1159,38,108,1037,6,101,2612,868,6,016
Miguel Hidalgo,Hombres,70-74 años,5254.0,74,12,1107,801,24,76,613,9,105,1851,571,11,016
Miguel Hidalgo,Hombres,75-79 años,3613.0,88,13,926,512,19,48,347,3,53,1201,398,5,016
Miguel Hidalgo,Hombres,80-84 años,2342.0,79,10,721,320,13,32,195,5,34,760,169,4,016
Miguel Hidalgo,Hombres,85 años y más,1960.0,86,15,685,232,9,27,187,2,26,520,159,12,016
Miguel Hidalgo,Mujeres,03-05 años,6658.0,1900,4632,0,0,0,0,0,0,0,0,0,126,016
Miguel Hidalgo,Mujeres,06-09 años,8091.0,63,2196,5745,0,0,0,0,0,0,0,0,87,016
Miguel Hidalgo,Mujeres,10-14 años,10644.0,28,206,6601,3729,2,0,0,0,0,0,0,78,016
Miguel Hidalgo,Mujeres,15-19 años,11257.0,25,3,244,3535,7,24,6447,0,47,880,0,45,016
Miguel Hidalgo,Mujeres,20-24 años,13788.0,23,4,250,1466,16,50,4513,0,171,7012,204,79,016
Miguel Hidalgo,Mujeres,25-29 años,18160.0,44,9,348,1877,20,74,3360,0,221,10601,1550,56,016
Miguel Hidalgo,Mujeres,30-34 años,19953.0,43,10,503,1971,27,128,3292,0,302,10582,3027,68,016
Miguel Hidalgo,Mujeres,35-39 años,18658.0,73,15,654,2120,26,195,3079,0,382,8991,3073,50,016
Miguel Hidalgo,Mujeres,40-44 años,17508.0,68,10,968,2394,39,375,2905,0,487,7585,2622,55,016
Miguel Hidalgo,Mujeres,45-49 años,16498.0,74,12,1133,2735,54,592,3047,10,737,6005,2055,44,016
Miguel Hidalgo,Mujeres,50-54 años,14962.0,123,14,1472,2789,94,844,2604,43,777,4783,1394,25,016
Miguel Hidalgo,Mujeres,55-59 años,12878.0,129,8,1664,2359,117,873,2078,68,591,4060,914,17,016
Miguel Hidalgo,Mujeres,60-64 años,11730.0,213,30,2348,1857,209,901,1541,62,551,3187,825,6,016
Miguel Hidalgo,Mujeres,65-69 años,9186.0,202,29,2217,1396,288,797,1066,70,437,2163,509,12,016
Miguel Hidalgo,Mujeres,70-74 años,7429.0,270,31,2181,998,269,602,727,50,347,1576,371,7,016
Miguel Hidalgo,Mujeres,75-79 años,5347.0,264,27,1801,620,222,383,524,52,215,1000,225,14,016
Miguel Hidalgo,Mujeres,80-84 años,3837.0,204,29,1500,434,147,242,365,36,161,614,94,11,016
Miguel Hidalgo,Mujeres,85 años y más,4076.0,390,46,1610,446,123,231,368,26,132,587,91,26,016
Milpa Alta,Hombres,03-05 años,3493.0,1471,2006,0,0,0,0,0,0,0,0,0,16,009
Milpa Alta,Hombres,06-09 años,5187.0,60,1403,3698,0,0,0,0,0,0,0,0,26,009
Milpa Alta,Hombres,10-14 años,6719.0,41,112,4145,2394,0,0,0,0,0,0,0,27,009
Milpa Alta,Hombres,15-19 años,6977.0,35,7,314,3087,9,94,3176,0,26,205,0,24,009
Milpa Alta,Hombres,20-24 años,6748.0,45,3,339,1897,9,76,2667,0,123,1559,20,10,009
Milpa Alta,Hombres,25-29 años,6303.0,45,5,429,1992,9,53,2106,0,78,1519,61,6,009
Milpa Alta,Hombres,30-34 años,5577.0,70,5,512,1915,14,49,1780,0,65,1081,80,6,009
Milpa Alta,Hombres,35-39 años,5176.0,105,10,698,1952,8,43,1458,0,57,756,86,3,009
Milpa Alta,Hombres,40-44 años,4984.0,118,4,798,2009,6,54,1247,0,62,595,86,5,009
Milpa Alta,Hombres,45-49 años,4838.0,114,7,883,1969,5,68,1126,1,58,535,67,5,009
Milpa Alta,Hombres,50-54 años,4355.0,120,9,882,1683,13,41,978,7,44,518,58,2,009
Milpa Alta,Hombres,55-59 años,3476.0,120,3,871,1212,4,32,663,22,37,454,58,0,009
Milpa Alta,Hombres,60-64 años,2724.0,123,5,924,742,6,30,443,18,13,377,43,0,009
Milpa Alta,Hombres,65-69 años,1911.0,110,8,735,530,4,20,221,11,21,220,29,2,009
Milpa Alta,Hombres,70-74 años,1263.0,105,9,603,273,1,13,108,14,2,115,19,1,009
Milpa Alta,Hombres,75-79 años,867.0,93,8,483,143,5,11,39,15,3,63,3,1,009
Milpa Alta,Hombres,80-84 años,518.0,85,2,311,52,0,3,23,4,1,35,2,0,009
Milpa Alta,Hombres,85 años y más,387.0,72,2,249,31,0,1,11,3,0,16,2,0,009
Milpa Alta,Mujeres,03-05 años,3500.0,1400,2081,0,0,0,0,0,0,0,0,0,19,009
Milpa Alta,Mujeres,06-09 años,5009.0,55,1370,3560,0,0,0,0,0,0,0,0,24,009
Milpa Alta,Mujeres,10-14 años,6579.0,31,81,4113,2336,3,0,0,0,0,0,0,15,009
Milpa Alta,Mujeres,15-19 años,6468.0,21,5,196,2526,12,113,3289,0,39,241,0,26,009
Milpa Alta,Mujeres,20-24 años,6643.0,33,6,238,1626,8,104,2702,0,190,1690,26,20,009
Milpa Alta,Mujeres,25-29 años,6646.0,44,1,337,1870,16,90,2267,0,136,1764,110,11,009
Milpa Alta,Mujeres,30-34 años,6113.0,66,6,401,1978,7,98,1958,0,128,1357,107,7,009
Milpa Alta,Mujeres,35-39 años,5819.0,84,8,611,2130,7,143,1616,0,115,973,119,13,009
Milpa Alta,Mujeres,40-44 años,5607.0,138,9,879,2189,7,140,1335,0,129,702,71,8,009
Milpa Alta,Mujeres,45-49 años,5377.0,141,6,936,2107,10,180,1196,2,133,593,67,6,009
Milpa Alta,Mujeres,50-54 años,5073.0,184,11,1184,1852,13,143,879,35,109,611,51,1,009
Milpa Alta,Mujeres,55-59 años,3743.0,177,11,1234,1195,14,118,478,55,49,374,38,0,009
Milpa Alta,Mujeres,60-64 años,2972.0,202,22,1302,692,21,100,267,35,35,269,27,0,009
Milpa Alta,Mujeres,65-69 años,2101.0,236,13,1055,410,12,49,127,17,17,149,14,2,009
Milpa Alta,Mujeres,70-74 años,1498.0,214,14,844,221,9,28,44,25,13,82,3,1,009
Milpa Alta,Mujeres,75-79 años,963.0,179,7,552,106,6,23,23,23,4,35,5,0,009
Milpa Alta,Mujeres,80-84 años,628.0,144,4,385,46,1,8,5,9,2,22,2,0,009
Milpa Alta,Mujeres,85 años y más,605.0,210,8,334,34,0,4,4,4,0,7,0,0,009
Tláhuac,Hombres,03-05 años,8301.0,3376,4857,0,0,0,0,0,0,0,0,0,68,011
Tláhuac,Hombres,06-09 años,11944.0,136,3066,8663,0,0,0,0,0,0,0,0,79,011
Tláhuac,Hombres,10-14 años,15892.0,56,146,9994,5628,5,0,0,0,0,0,0,63,011
Tláhuac,Hombres,15-19 años,16651.0,52,12,657,6613,13,119,8378,0,80,658,0,69,011
Tláhuac,Hombres,20-24 años,16963.0,76,10,694,3751,22,119,6902,0,270,5037,61,21,011
Tláhuac,Hombres,25-29 años,16493.0,82,7,869,3889,26,128,5602,0,239,5338,302,11,011
Tláhuac,Hombres,30-34 años,14712.0,100,9,965,4028,24,104,4767,0,239,4063,400,13,011
Tláhuac,Hombres,35-39 años,13710.0,140,12,1162,4081,22,159,4458,0,230,3105,329,12,011
Tláhuac,Hombres,40-44 años,13091.0,164,10,1413,4533,18,169,3835,0,244,2436,250,19,011
Tláhuac,Hombres,45-49 años,13097.0,155,16,1585,4614,22,224,3885,1,238,2129,218,10,011
Tláhuac,Hombres,50-54 años,12163.0,164,18,1781,4100,17,205,3433,22,245,1941,233,4,011
Tláhuac,Hombres,55-59 años,9630.0,170,13,1781,3011,17,152,2404,30,150,1708,190,4,011
Tláhuac,Hombres,60-64 años,7665.0,167,14,2077,2127,24,90,1578,21,89,1305,172,1,011
Tláhuac,Hombres,65-69 años,5390.0,193,23,2060,1375,26,70,720,14,49,771,86,3,011
Tláhuac,Hombres,70-74 años,3580.0,222,15,1741,791,19,43,311,20,25,346,43,4,011
Tláhuac,Hombres,75-79 años,2044.0,196,15,1168,343,5,18,114,15,10,145,15,0,011
Tláhuac,Hombres,80-84 años,1251.0,170,11,765,137,7,10,50,3,7,81,10,0,011
Tláhuac,Hombres,85 años y más,931.0,190,7,596,63,2,3,29,3,5,30,3,0,011
Tláhuac,Mujeres,03-05 años,7839.0,3147,4631,0,0,0,0,0,0,0,0,0,61,011
Tláhuac,Mujeres,06-09 años,11520.0,141,3000,8305,0,0,0,0,0,0,0,0,74,011
Tláhuac,Mujeres,10-14 años,15347.0,55,143,9528,5563,3,0,0,0,0,0,0,55,011
Tláhuac,Mujeres,15-19 años,15738.0,45,7,421,5737,19,151,8512,0,83,721,0,42,011
Tláhuac,Mujeres,20-24 años,16610.0,53,6,479,3452,21,155,6485,0,284,5551,98,26,011
Tláhuac,Mujeres,25-29 años,16937.0,74,7,656,3836,29,197,5727,0,324,5739,335,13,011
Tláhuac,Mujeres,30-34 años,15855.0,100,8,909,4131,26,268,4984,0,355,4568,487,19,011
Tláhuac,Mujeres,35-39 años,15095.0,139,10,1273,4522,35,408,4474,0,426,3418,377,13,011
Tláhuac,Mujeres,40-44 años,14731.0,179,7,1727,5013,35,558,3835,0,492,2561,308,16,011
Tláhuac,Mujeres,45-49 años,15203.0,198,15,2053,5272,65,821,3745,4,542,2199,273,16,011
Tláhuac,Mujeres,50-54 años,14075.0,265,17,2677,4643,71,845,2929,58,529,1850,187,4,011
Tláhuac,Mujeres,55-59 años,11167.0,285,15,3114,3330,86,683,1790,88,310,1321,142,3,011
Tláhuac,Mujeres,60-64 años,8928.0,375,26,3641,2118,101,443,988,63,186,903,82,2,011
Tláhuac,Mujeres,65-69 años,6121.0,466,34,3173,1110,90,321,389,30,115,357,33,3,011
Tláhuac,Mujeres,70-74 años,4344.0,522,29,2556,539,74,157,177,31,62,180,16,1,011
Tláhuac,Mujeres,75-79 años,2583.0,442,15,1620,199,45,73,62,22,29,71,5,0,011
Tláhuac,Mujeres,80-84 años,1766.0,388,24,1127,101,15,35,26,11,10,27,1,1,011
Tláhuac,Mujeres,85 años y más,1593.0,487,18,920,82,9,23,23,7,7,15,2,0,011
Tlalpan,Hombres,03-05 años,12383.0,4485,7803,0,0,0,0,0,0,0,0,0,95,012
Tlalpan,Hombres,06-09 años,18619.0,165,5071,13277,0,0,0,0,0,0,0,0,106,012
Tlalpan,Hombres,10-14 años,24951.0,82,393,15648,8726,4,0,0,0,0,0,0,98,012
Tlalpan,Hombres,15-19 años,27036.0,109,20,975,10724,25,152,13659,0,152,1127,0,93,012
Tlalpan,Hombres,20-24 años,29172.0,98,20,1085,5641,41,153,11446,0,417,10036,151,84,012
Tlalpan,Hombres,25-29 años,27809.0,141,23,1409,5943,20,158,7748,0,391,10825,1098,53,012
Tlalpan,Hombres,30-34 años,26296.0,178,31,1778,5846,26,176,6808,0,473,9107,1826,47,012
Tlalpan,Hombres,35-39 años,25098.0,232,23,2046,6236,33,197,6237,0,466,7788,1794,46,012
Tlalpan,Hombres,40-44 años,24075.0,275,26,2635,6349,38,208,5448,0,426,6681,1929,60,012
Tlalpan,Hombres,45-49 años,23780.0,267,36,2702,6338,55,340,5276,5,487,6474,1782,18,012
Tlalpan,Hombres,50-54 años,21103.0,285,36,2986,5288,38,270,4369,19,406,5681,1711,14,012
Tlalpan,Hombres,55-59 años,17380.0,310,35,2937,3959,43,199,3274,19,304,4940,1343,17,012
Tlalpan,Hombres,60-64 años,15529.0,371,44,3314,2814,30,160,2424,17,191,4718,1437,9,012
Tlalpan,Hombres,65-69 años,12005.0,351,36,3197,1955,47,145,1361,17,157,3660,1073,6,012
Tlalpan,Hombres,70-74 años,8630.0,418,38,2651,1235,52,103,777,17,116,2414,805,4,012
Tlalpan,Hombres,75-79 años,5532.0,401,41,1901,643,20,64,415,10,74,1460,499,4,012
Tlalpan,Hombres,80-84 años,3249.0,310,20,1184,345,20,52,208,11,41,834,221,3,012
Tlalpan,Hombres,85 años y más,2388.0,316,16,934,261,7,34,158,10,26,503,123,0,012
Tlalpan,Mujeres,03-05 años,12208.0,4356,7760,0,0,0,0,0,0,0,0,0,92,012
Tlalpan,Mujeres,06-09 años,18038.0,153,4895,12891,0,0,0,0,0,0,0,0,99,012
Tlalpan,Mujeres,10-14 años,24092.0,78,412,14685,8821,6,0,0,0,0,0,0,90,012
Tlalpan,Mujeres,15-19 años,25919.0,74,13,638,9392,29,176,13865,0,182,1454,0,96,012
Tlalpan,Mujeres,20-24 años,28401.0,78,14,805,5060,43,195,9878,0,564,11508,192,64,012
Tlalpan,Mujeres,25-29 años,28601.0,144,16,1085,5733,39,252,7844,0,598,11589,1271,30,012
Tlalpan,Mujeres,30-34 años,28154.0,189,20,1552,5894,42,382,7090,0,727,10132,2075,51,012
Tlalpan,Mujeres,35-39 años,27732.0,257,28,2273,6182,54,548,6448,0,878,8833,2180,51,012
Tlalpan,Mujeres,40-44 años,27131.0,302,31,2942,6572,68,787,5626,0,930,7846,1984,43,012
Tlalpan,Mujeres,45-49 años,27295.0,370,45,3479,6692,82,1138,5293,12,1131,7249,1767,37,012
Tlalpan,Mujeres,50-54 años,25187.0,512,49,4149,5816,107,1246,4336,62,1022,6331,1538,19,012
Tlalpan,Mujeres,55-59 años,21182.0,639,66,4567,4306,147,1126,3062,99,854,5032,1268,16,012
Tlalpan,Mujeres,60-64 años,19309.0,770,67,5595,3096,226,1188,2277,82,715,4222,1058,13,012
Tlalpan,Mujeres,65-69 años,14965.0,839,83,5010,2087,292,1132,1428,85,604,2657,740,8,012
Tlalpan,Mujeres,70-74 años,11129.0,958,71,3965,1215,340,901,802,98,435,1872,466,6,012
Tlalpan,Mujeres,75-79 años,7038.0,801,61,2599,674,294,594,464,73,252,998,225,3,012
Tlalpan,Mujeres,80-84 años,4809.0,682,40,1957,483,163,372,232,43,150,572,111,4,012
Tlalpan,Mujeres,85 años y más,4311.0,901,47,1838,407,131,245,233,39,100,323,44,3,012
Venustiano Carranza,Hombres,03-05 años,8053.0,2584,5377,0,0,0,0,0,0,0,0,0,92,017
Venustiano Carranza,Hombres,06-09 años,10743.0,98,2583,7982,0,0,0,0,0,0,0,0,80,017
Venustiano Carranza,Hombres,10-14 años,14407.0,40,189,8774,5298,2,0,0,0,0,0,0,104,017
Venustiano Carranza,Hombres,15-19 años,15235.0,41,14,458,5341,15,43,8300,0,79,866,0,78,017
Venustiano Carranza,Hombres,20-24 años,16603.0,57,12,451,2902,21,60,6738,0,228,5969,120,45,017
Venustiano Carranza,Hombres,25-29 años,17227.0,69,4,519,3046,32,78,5508,0,245,7131,560,35,017
Venustiano Carranza,Hombres,30-34 años,16711.0,97,7,621,3271,27,85,5090,0,271,6359,842,41,017
Venustiano Carranza,Hombres,35-39 años,15692.0,87,11,746,3321,32,102,4736,0,299,5492,826,40,017
Venustiano Carranza,Hombres,40-44 años,14622.0,94,12,921,3436,17,136,4367,0,279,4542,779,39,017
Venustiano Carranza,Hombres,45-49 años,14816.0,108,8,1068,3842,34,167,4405,5,323,4159,661,36,017
Venustiano Carranza,Hombres,50-54 años,13966.0,124,18,1389,3625,34,169,4017,21,324,3712,520,13,017
Venustiano Carranza,Hombres,55-59 años,12307.0,109,10,1556,3016,34,180,3285,27,243,3337,491,19,017
Venustiano Carranza,Hombres,60-64 años,10937.0,119,15,1984,2347,38,148,2378,28,171,3205,483,21,017
Venustiano Carranza,Hombres,65-69 años,7985.0,114,13,2064,1692,45,122,1372,12,110,2159,276,6,017
Venustiano Carranza,Hombres,70-74 años,5765.0,106,17,1956,1238,60,120,787,13,80,1232,149,7,017
Venustiano Carranza,Hombres,75-79 años,3738.0,127,15,1546,724,33,62,426,10,58,666,69,2,017
Venustiano Carranza,Hombres,80-84 años,2488.0,105,16,1169,445,17,46,193,7,42,405,39,4,017
Venustiano Carranza,Hombres,85 años y más,2104.0,136,14,1161,290,16,26,140,14,18,258,31,0,017
Venustiano Carranza,Mujeres,03-05 años,7944.0,2597,5216,0,0,0,0,0,0,0,0,0,131,017
Venustiano Carranza,Mujeres,06-09 años,10418.0,101,2503,7717,0,0,0,0,0,0,0,0,97,017
Venustiano Carranza,Mujeres,10-14 años,13767.0,36,188,8226,5232,2,0,0,0,0,0,0,83,017
Venustiano Carranza,Mujeres,15-19 años,14875.0,23,12,325,4822,25,52,8498,0,76,969,0,73,017
Venustiano Carranza,Mujeres,20-24 años,16380.0,38,8,408,2465,20,72,6217,0,261,6710,135,46,017
Venustiano Carranza,Mujeres,25-29 años,17693.0,45,8,483,2953,29,85,5453,0,312,7692,610,23,017
Venustiano Carranza,Mujeres,30-34 años,17730.0,69,7,607,3142,32,187,5069,0,428,7183,961,45,017
Venustiano Carranza,Mujeres,35-39 años,17029.0,97,10,809,3403,42,276,4808,0,525,6100,928,31,017
Venustiano Carranza,Mujeres,40-44 años,16594.0,102,10,1176,3785,55,482,4393,0,627,5133,792,39,017
Venustiano Carranza,Mujeres,45-49 años,17030.0,150,12,1393,4363,110,773,4398,11,786,4358,655,21,017
Venustiano Carranza,Mujeres,50-54 años,16838.0,155,20,2097,4333,109,1152,3826,49,875,3693,523,6,017
Venustiano Carranza,Mujeres,55-59 años,14896.0,203,19,2709,3575,190,1056,2798,87,725,3077,443,14,017
Venustiano Carranza,Mujeres,60-64 años,13793.0,257,21,3773,2838,312,1116,1962,93,499,2596,319,7,017
Venustiano Carranza,Mujeres,65-69 años,10332.0,329,24,3616,1924,408,931,1068,63,361,1434,169,5,017
Venustiano Carranza,Mujeres,70-74 años,8072.0,343,47,3583,1235,369,684,596,59,225,846,83,2,017
Venustiano Carranza,Mujeres,75-79 años,5465.0,376,26,2672,677,264,442,303,47,149,448,58,3,017
Venustiano Carranza,Mujeres,80-84 años,4184.0,374,23,2229,499,190,257,178,21,93,291,24,5,017
Venustiano Carranza,Mujeres,85 años y más,4101.0,536,32,2383,368,128,220,123,24,72,188,23,4,017
Xochimilco,Hombres,03-05 años,8611.0,3385,5180,0,0,0,0,0,0,0,0,0,46,013
Xochimilco,Hombres,06-09 años,12678.0,154,3257,9197,0,0,0,0,0,0,0,0,70,013
Xochimilco,Hombres,10-14 años,17025.0,80,263,10478,6142,1,0,0,0,0,0,0,61,013
Xochimilco,Hombres,15-19 años,17733.0,55,11,818,7270,30,130,8602,0,105,635,0,77,013
Xochimilco,Hombres,20-24 años,18639.0,104,10,963,4453,32,139,7117,0,302,5419,68,32,013
Xochimilco,Hombres,25-29 años,18611.0,143,20,1288,4799,33,127,5681,0,273,5829,400,18,013
Xochimilco,Hombres,30-34 años,16996.0,209,16,1459,4702,25,139,4889,0,287,4731,522,17,013
Xochimilco,Hombres,35-39 años,16200.0,257,18,1868,4808,22,160,4362,0,286,3867,533,19,013
Xochimilco,Hombres,40-44 años,15197.0,286,21,2025,4688,18,170,3778,0,261,3357,575,18,013
Xochimilco,Hombres,45-49 años,14723.0,240,23,2086,4404,28,198,3711,3,292,3082,638,18,013
Xochimilco,Hombres,50-54 años,13621.0,318,26,2080,3848,18,175,3265,46,249,3015,577,4,013
Xochimilco,Hombres,55-59 años,11090.0,264,14,2068,2902,22,139,2296,86,164,2672,459,4,013
Xochimilco,Hombres,60-64 años,9360.0,259,28,2218,2075,16,108,1532,91,118,2432,478,5,013
Xochimilco,Hombres,65-69 años,6846.0,266,27,1982,1466,20,106,869,71,82,1660,294,3,013
Xochimilco,Hombres,70-74 años,4882.0,266,19,1696,964,17,78,473,65,68,1049,185,2,013
Xochimilco,Hombres,75-79 años,3048.0,209,19,1212,496,23,57,244,50,29,590,118,1,013
Xochimilco,Hombres,80-84 años,1729.0,154,8,814,212,8,19,94,38,11,315,56,0,013
Xochimilco,Hombres,85 años y más,1407.0,216,10,712,139,8,21,69,31,6,164,29,2,013
Xochimilco,Mujeres,03-05 años,8408.0,3279,5070,0,0,0,0,0,0,0,0,0,59,013
Xochimilco,Mujeres,06-09 años,12329.0,119,3209,8921,0,0,0,0,0,0,0,0,80,013
Xochimilco,Mujeres,10-14 años,16249.0,58,251,9850,6024,5,0,0,0,0,0,0,61,013
Xochimilco,Mujeres,15-19 años,17223.0,43,9,547,6409,27,176,8995,0,138,770,0,109,013
Xochimilco,Mujeres,20-24 años,18340.0,72,10,631,3868,24,165,6797,0,411,6224,96,42,013
Xochimilco,Mujeres,25-29 años,17952.0,98,10,895,4237,28,236,5480,0,375,6115,461,17,013
Xochimilco,Mujeres,30-34 años,17296.0,149,16,1235,4285,40,315,4880,0,455,5214,670,37,013
Xochimilco,Mujeres,35-39 años,17080.0,230,26,1790,4588,39,420,4353,0,501,4412,693,28,013
Xochimilco,Mujeres,40-44 años,16589.0,287,25,2169,4709,53,546,3795,0,530,3783,661,31,013
Xochimilco,Mujeres,45-49 años,16376.0,311,26,2443,4503,64,712,3518,9,643,3535,591,21,013
Xochimilco,Mujeres,50-54 años,15514.0,420,32,2753,4126,76,753,2870,169,591,3174,542,8,013
Xochimilco,Mujeres,55-59 años,12753.0,475,35,3087,2938,84,647,1913,247,370,2540,411,6,013
Xochimilco,Mujeres,60-64 años,10934.0,537,38,3457,2131,130,600,1167,233,331,1932,375,3,013
Xochimilco,Mujeres,65-69 años,8099.0,588,45,3013,1352,168,550,637,166,211,1160,201,8,013
Xochimilco,Mujeres,70-74 años,5993.0,552,30,2478,878,119,403,363,149,152,745,122,2,013
Xochimilco,Mujeres,75-79 años,3746.0,458,27,1742,402,95,208,156,109,87,400,60,2,013
Xochimilco,Mujeres,80-84 años,2506.0,389,21,1309,249,46,94,78,72,41,185,20,2,013
Xochimilco,Mujeres,85 años y más,2437.0,565,24,1228,182,43,83,94,48,29,129,11,1,013
