Alcaldia,Sexo,Grupos de edad,Poblacion,Sin Escolaridad,Preescolar,Primaria,Secundaria,Estudios técnicos con primaria,Estudios técnicos con secundaria,Prepa,Normal Basica,Estudios técnicos con prepa,Licenciatura,Posgrado,No especificado,alcaldia_id
Iztacalco,Hombres,45-49 años,14074.0,101,12,1031,3606,24,185,4126,4,341,3992,632,20,006
Iztacalco,Hombres,50-54 años,13188.0,117,9,1236,3459,14,224,3720,12,294,3604,478,21,006
Iztacalco,Hombres,55-59 años,11269.0,87,6,1459,2733,29,172,2867,13,205,3255,435,8,006
Iztacalco,Hombres,60-64 años,9660.0,123,9,1751,2090,14,140,2112,15,163,2839,398,6,006
Iztacalco,Hombres,65-69 años,7097.0,99,12,1839,1504,49,134,1143,13,92,1960,241,11,006
Iztacalco,Hombres,70-74 años,5192.0,148,19,1882,1067,42,119,670,16,65,1047,114,3,006
Iztacalco,Hombres,75-79 años,3488.0,148,15,1563,663,41,70,328,6,36,557,60,1,006
Iztacalco,Hombres,80-84 años,2400.0,179,19,1200,357,11,50,207,10,22,301,42,2,006
Iztacalco,Hombres,85 años y más,2121.0,203,21,1218,256,16,36,109,8,10,204,38,2,006
Iztacalco,Mujeres,03-05 años,6625.0,2176,4388,0,0,0,0,0,0,0,0,0,61,006
Iztacalco,Mujeres,06-09 años,9279.0,87,2378,6744,0,0,0,0,0,0,0,0,70,006
Iztacalco,Mujeres,10-14 años,12670.0,34,257,7580,4737,5,0,0,0,0,0,0,57,006
Iztacalco,Mujeres,15-19 años,13495.0,30,9,243,4292,12,63,7795,0,83,896,0,72,006
Iztacalco,Mujeres,20-24 años,15293.0,40,6,249,2110,16,98,5817,0,281,6531,100,45,006
Iztacalco,Mujeres,25-29 años,16154.0,40,5,328,2489,15,112,4720,0,368,7423,614,40,006
Iztacalco,Mujeres,30-34 años,16253.0,50,5,499,2635,26,214,4478,0,408,6962,950,26,006
Iztacalco,Mujeres,35-39 años,15620.0,61,7,701,2772,31,333,4261,0,467,5963,993,31,006
Iztacalco,Mujeres,40-44 años,15234.0,91,12,1020,3283,58,474,4148,0,627,4703,784,34,006
Iztacalco,Mujeres,45-49 años,16002.0,139,15,1304,3965,64,827,4103,3,824,4080,650,28,006
Iztacalco,Mujeres,50-54 años,15712.0,145,17,1784,3886,82,1077,3582,63,855,3695,505,21,006
Iztacalco,Mujeres,55-59 años,13336.0,163,20,2334,2982,142,1107,2682,100,592,2825,380,9,006
Iztacalco,Mujeres,60-64 años,12173.0,234,21,3296,2549,241,988,1804,78,463,2180,313,6,006
Iztacalco,Mujeres,65-69 años,9195.0,324,31,3284,1718,323,917,940,59,294,1138,160,7,006
Iztacalco,Mujeres,70-74 años,7208.0,423,40,3392,1053,312,575,461,51,205,615,78,3,006
Iztacalco,Mujeres,75-79 años,4907.0,440,45,2579,574,223,341,231,47,93,292,42,0,006
Iztacalco,Mujeres,80-84 años,3774.0,478,41,2051,384,131,243,129,38,50,208,20,1,006
Iztacalco,Mujeres,85 años y más,3692.0,656,47,2105,272,106,173,85,27,47,164,10,0,006
Iztapalapa,Hombres,03-05 años,35019.0,14747,19989,0,0,0,0,0,0,0,0,0,283,007
Iztapalapa,Hombres,06-09 años,52162.0,610,13061,38127,0,0,0,0,0,0,0,0,364,007
Iztapalapa,Hombres,10-14 años,69528.0,247,1010,42762,25200,12,0,0,0,0,0,0,297,007
Iztapalapa,Hombres,15-19 años,73108.0,290,36,3148,28617,94,350,36920,0,361,3049,0,243,007
Iztapalapa,Hombres,20-24 años,75828.0,826,28,3346,17168,109,352,30724,0,1123,21649,310,193,007
Iztapalapa,Hombres,25-29 años,75498.0,1820,35,4347,18650,117,410,24433,0,1129,23074,1396,87,007
Iztapalapa,Hombres,30-34 años,71308.0,2331,47,4981,18991,124,512,22039,0,1091,19249,1857,86,007
Iztapalapa,Hombres,35-39 años,66445.0,2358,57,5708,19539,112,555,19873,0,1123,15247,1789,84,007
Iztapalapa,Hombres,40-44 años,62646.0,2164,57,7010,19915,134,652,17445,0,1115,12456,1641,57,007
Iztapalapa,Hombres,45-49 años,61013.0,1796,64,7318,20335,134,810,16862,10,1141,11031,1457,55,007
Iztapalapa,Hombres,50-54 años,54898.0,1462,68,8482,17461,120,822,14384,43,999,9941,1093,23,007
Iztapalapa,Hombres,55-59 años,45370.0,1216,61,9430,12919,103,615,10454,72,688,8787,1007,18,007
Iztapalapa,Hombres,60-64 años,39606.0,1257,83,11443,9722,131,490,7267,60,472,7725,942,14,007
Iztapalapa,Hombres,65-69 años,29058.0,1153,87,11041,6596,153,377,3701,40,321,5025,556,8,007
Iztapalapa,Hombres,70-74 años,20815.0,1290,85,9679,3951,127,301,1985,40,210,2814,325,8,007
Iztapalapa,Hombres,75-79 años,12994.0,1190,93,6847,1957,80,171,938,35,117,1393,170,3,007
Iztapalapa,Hombres,80-84 años,7309.0,973,49,3940,940,46,82,471,16,50,654,86,2,007
Iztapalapa,Hombres,85 años y más,5513.0,951,54,3213,501,22,32,265,18,26,393,35,3,007
Iztapalapa,Mujeres,03-05 años,34456.0,14533,19674,0,0,0,0,0,0,0,0,0,249,007
Iztapalapa,Mujeres,06-09 años,50332.0,546,12674,36760,0,0,0,0,0,0,0,0,352,007
Iztapalapa,Mujeres,10-14 años,67431.0,215,936,40860,25115,16,0,0,0,0,0,0,289,007
Iztapalapa,Mujeres,15-19 años,70085.0,197,28,2209,24719,85,435,38034,0,432,3669,0,277,007
Iztapalapa,Mujeres,20-24 años,74912.0,355,22,2510,15378,140,532,29074,0,1418,24832,456,195,007
Iztapalapa,Mujeres,25-29 años,76092.0,484,43,3395,18115,130,621,24923,0,1434,25150,1703,94,007
Iztapalapa,Mujeres,30-34 años,73562.0,615,44,4282,19635,138,966,22498,0,1744,21195,2337,108,007
Iztapalapa,Mujeres,35-39 años,70485.0,758,62,5998,20082,188,1406,20395,0,2063,17266,2154,113,007
Iztapalapa,Mujeres,40-44 años,68867.0,894,67,8002,21692,214,2207,17683,0,2187,13959,1858,104,007
Iztapalapa,Mujeres,45-49 años,68372.0,1085,66,9262,22397,310,3142,16411,42,2678,11417,1486,76,007
Iztapalapa,Mujeres,50-54 años,63783.0,1353,93,12536,19691,359,3576,12991,165,2484,9310,1208,17,007
Iztapalapa,Mujeres,55-59 años,53920.0,1670,133,15388,14120,477,3014,8639,245,1804,7476,934,20,007
Iztapalapa,Mujeres,60-64 años,48146.0,2313,167,19161,10236,753,2802,5240,197,1285,5290,691,11,007
Iztapalapa,Mujeres,65-69 años,35877.0,2657,163,17181,6199,755,2074,2657,133,829,2857,360,12,007
Iztapalapa,Mujeres,70-74 años,26051.0,2952,170,14031,3268,687,1385,1278,127,437,1534,175,7,007
Iztapalapa,Mujeres,75-79 años,16469.0,2731,133,9105,1598,442,669,547,82,255,817,89,1,007
Iztapalapa,Mujeres,80-84 años,10539.0,2217,89,5964,826,231,344,257,53,113,408,36,1,007
Iztapalapa,Mujeres,85 años y más,9687.0,2760,116,5316,527,168,213,171,33,85,264,28,6,007
La Magdalena Contreras,Hombres,03-05 años,4559.0,1753,2764,0,0,0,0,0,0,0,0,0,42,008
La Magdalena Contreras,Hombres,06-09 años,6646.0,87,1995,4524,0,0,0,0,0,0,0,0,40,008
La Magdalena Contreras,Hombres,10-14 años,9066.0,38,204,5627,3143,1,0,0,0,0,0,0,53,008
La Magdalena Contreras,Hombres,15-19 años,9585.0,34,4,398,4194,13,57,4486,0,55,285,0,59,008
La Magdalena Contreras,Hombres,20-24 años,10068.0,67,2,426,2438,19,100,3993,0,173,2772,38,40,008
La Magdalena Contreras,Hombres,25-29 años,9763.0,65,8,478,2457,12,65,2999,0,159,3200,223,97,008
La Magdalena Contreras,Hombres,30-34 años,8855.0,75,6,635,2444,7,95,2520,0,155,2444,370,104,008
La Magdalena Contreras,Hombres,35-39 años,8479.0,96,10,841,2579,14,102,2186,0,154,2001,447,49,008
La Magdalena Contreras,Hombres,40-44 años,8278.0,98,12,951,2635,12,133,1887,0,179,1805,545,21,008
La Magdalena Contreras,Hombres,45-49 años,8791.0,119,20,1143,2839,16,144,1939,4,192,1818,529,28,008
La Magdalena Contreras,Hombres,50-54 años,7915.0,147,10,1200,2400,15,140,1711,5,138,1643,494,12,008
La Magdalena Contreras,Hombres,55-59 años,6251.0,122,7,1250,1683,15,97,1196,3,113,1377,379,9,008
La Magdalena Contreras,Hombres,60-64 años,5424.0,158,13,1506,1184,12,69,827,7,73,1224,346,5,008
La Magdalena Contreras,Hombres,65-69 años,4035.0,170,15,1386,724,22,59,446,2,43,876,292,0,008
La Magdalena Contreras,Hombres,70-74 años,3072.0,159,7,1202,521,17,40,207,5,26,621,264,3,008
La Magdalena Contreras,Hombres,75-79 años,1899.0,175,7,816,255,11,33,85,0,15,359,142,1,008
La Magdalena Contreras,Hombres,80-84 años,1096.0,139,9,484,131,3,17,49,2,12,193,57,0,008
La Magdalena Contreras,Hombres,85 años y más,901.0,118,6,431,77,5,10,51,0,15,141,47,0,008
La Magdalena Contreras,Mujeres,03-05 años,4382.0,1713,2626,0,0,0,0,0,0,0,0,0,43,008
La Magdalena Contreras,Mujeres,06-09 años,6474.0,71,1850,4514,0,0,0,0,0,0,0,0,39,008
La Magdalena Contreras,Mujeres,10-14 años,9030.0,30,183,5587,3189,1,0,0,0,0,0,0,40,008
